Provider,Company ,CourseName ,Link,Contents,Level,User
ARSET,NASA,Fundamentals of Remote sensing 1,https://arset.gsfc.nasa.gov/webinars/fundamentals-remote-sensing,Manager; Data Scientist; GIS Expert; fundamental; The ElectroMagenetic (EM) spectrum; satellites vs sensors; types of satellite orbit; geostationary; Low Earth Orbit; Polar Orbit; Non-Polar Orbit; Passive vs active sensors; resolution; spatial resolution; temporal resolution; spectral resolution; radiometric resolution; data processing levels; applications; flood mapping; deforestation; drought monitoring; vector bourne disease risk; advantages and disadventages of remote sensing; Fundamental; remote sensing; ,fundamental,Manager; Data Scientist; GIS Expert;
ARSET,NASA,Fundamentals of Remote sensing 1A,https://arset.gsfc.nasa.gov/webinars/fundamentals-remote-sensing,Manager; Data Scientist; GIS Expert; Nasa's earth observing fleet; the fleet; satellites; aqua; aura; CALIPSO; CYGNSS; GPM; GRACE-FO; ISS; landsat 7; landsat 8; OCO-2; OSTM/Jason 2; SMAP; Suomi NPP; Terra; fundamental; remote sensing,fundamental,Manager; Data Scientist; GIS Expert;
ARSET,NASA,Fundamentals of Remote sensing 2A,https://arset.gsfc.nasa.gov/webinars/fundamentals-remote-sensing,"Manager; Data Scientist; GIS Expert; Satellites and sensors for land management and wildfires; MODIS tiles vs landsat images; MODIS anming convention; MODIS land productsl; MODIS Dsta access; LP DAAC; EOSDIS; ECHO; Oakridge National Lab DAAC; GLCF; GLOVIS; FIRMS; Woldview; SERVIR; MRTWeb; VIIRS; MODIS/VIIRS corresponding spectrol bands; transition issues; VIIRS land products; VIIRS Data Access; Landsat; spectral characteristics of landsat; chacteristics of landsat 4, 5, 7, 8; Landsat data access; landsatLook viewer; GloVis; Earth explorer; Landsat global archive consolidation; land cover mapping; land cover products; fire detection products; detectin land cover change; fundamental; remote sensing; NDVI and EVI; phenology; drought monitoring; MODIS and NDVI and EVI; ",fundamental,Manager; Data Scientist; GIS Expert;
ARSET,NASA,Fundamentals of Remote Sensing 2B,https://arset.gsfc.nasa.gov/webinars/fundamentals-remote-sensing,"Manager; Data Scientist; GIS Expert; water resources management; fresh water; NASA satellites; earth system models; satellites for water resources management; landsat; enhanced thermatic mapper; operational land imager (OLI); applications; data access for landsat; spectral reflectance data; TRMM; TRMM microwave imager (TMI); precipitation radar (PR); TRMM for water resources applications; GMP satellites and sensors; GPM microwave imager (GMI); Dual precipitation radar (DPR); GPM data for water resources applications; comparison between TRMM and GPM; multi-satellite algorithms; TMPA; IMERG; IMERG data access; Terra; Aqua; MODIS; MODIS for water resources management; MODIS snow cover data access; MODIS normalised vegetation index; SMAP; SMAP microwave radiometer and radar; SMAP for water resources applications; Data access SMAP; GRACE; GRACE sensors; GRACE for water resources applications; data access GRACE; Jason 1, 2, 3; Poseidon altimeter; Jason for water resources applications; data access Jason; Earth system models; NASA models; MERRA; GLDAS; NLDAS-2; data access MMERRA; data access LDAS; Advantages; limitations; Fundamental; remote sensing; ",fundamental,Manager; Data Scientist; GIS Expert;
ARSET,NASA,Fundamentals of Remote Sensing 2C,https://arset.gsfc.nasa.gov/webinars/fundamentals-remote-sensing,Manager; Data Scientist; GIS Expert; fundamental; remote sensing; aquatic remote sensing; advantages; light and water; resolution; spatial resolution; temporal resolution; spectral resolution; NASA satellites for aquatic applications; image correction; data processing levels; data products; data access; worldview; OceanColor web data browsers; data processing tools;,fundamental,Manager; Data Scientist; GIS Expert;
ARSET,NASA,Satellite Remote Sensing for Agricultural Applications 1,https://appliedsciences.nasa.gov/join-mission/training/english/satellite-remote-sensing-agricultural-applications-0,"Manager; Data Scientist; GIS Expert; Introductory; agricultural applications; remote sensing; agricultural remote sensing; History of agricultural remote sensing; Crop monitoring; Crop forecasting; Market stability; Humanitarian aid; Satellites and sensors for agricultural applications; Applications; Land surface reflectance; Evapotranspiration (ET); Land surface temperature; Precipitation; Soil moisture; Vegetation greenness; Structure; Satellites and instruments; Terra – MODIS (Moderate Resolution Imaging Spectroradiometer); Aqua – MODIS; Suomi-NPP – VIIRS (Visible Infrared Imaging Radiometer Suite); NOAA-20 – VIIRS; Landsat 8 – OLI (Operational Land Imager); Sentinel 2 – MSI (Multi-Spectral Imager); Landsat8 and sentinel 2 – HLS (Harmonised Landsat and Sentinel 2); ISS – ECOSTRESS (ECOsystem Space bourne Thermal Radiometer Experiment on Space Station); LDAS (Land Data Assimilation System) – Modelled output; Global Precipitation Measurement – GMI, DPR; CHIRPS (Climate Hazards group InfraRed Precipitation with Station data) – multiple; SMAP (Soil Moisture Active Passive) – L-band radar; Sentinel 1 – C-band radar;  Land Cover mapping – optical vs radar; Penetration as a function of wavelength; 
Caveats and limitations;",Introductory,Manager; Data Scientist; GIS Expert;
ARSET,NASA,Satellite Remote Sensing for Agricultural Applications 2,https://appliedsciences.nasa.gov/join-mission/training/english/satellite-remote-sensing-agricultural-applications-0,GIS Expert; Data Scientist; introductory; agricultural applications; remote sensing; soil moisture for agricultural applications; soil moisture active passive satellite mission; Overview – SMAP; Active/passive; Microwave remote sensing; Specs; Measurement approach; Factors influencing soil moisture; Rainfall; Soil texture; Vegetation; Topography; Agricultural applications; Crop yield modelling; Improve drought/flood early warning; SMAP data products; SMAP data access; More agricultural applications; LDAS for water and land management; Land surface models (LSMs); Global and regional LDAS; GLDAS (global LDAS); NLDAS (North American LDAS); FLDAS (Famine early warning systems network LDAS); NCA_LDAS (national climate assessment LDAS); Land information system; Examples of LDAS for Ag; Famine early warning; Crop forecasting; N LDAS drought monitor; LDAS data access;,Introductory,GIS Expert; Data Scientist; 
ARSET,NASA,Satellite Remote Sensing for Agricultural Applications 3,https://appliedsciences.nasa.gov/join-mission/training/english/satellite-remote-sensing-agricultural-applications-0,"GIS Expert; Data Scientist; introductory; remote sensing; agricultural applications; earth observations for agricultural monitoring; Products and Variables for Cropland and Rangeland Monitoring; Applications; Crop calendar; Crop condition;  Crop mask; Crop type mask; FAPAR (fraction of absorbed photosynthetically active radiation); Growing degree days; Phenology; Precipitation; Soil moisture; Temperature; Vegetation indices (NDVI, EVI); Yield forecast; NASS (National Agricultural Statistics Service)(US); Examples of Operational Agricultural monitoring systems; IPAD (international production assessment division); GADAS (global agricultural and disaster assessment system); FEWS NET (Famine early warning systems network); ASAP (anomaly hot spots of agricultural production); GEOLAM (group on earth observations global agricultural monitoring initiative); ",Introductory,GIS Expert; Data Scientist; 
ARSET,NASA,Satellite Remote Sensing for Agricultural Applications 4,https://appliedsciences.nasa.gov/join-mission/training/english/satellite-remote-sensing-agricultural-applications-0,GIS Expert; Data Scientist; introductory; evapotranspiration (ET); evaporative stress index; agricultural applications; Background; What is evapotranspiration (ET)?; Why  measure it?; How do we measure it?; Satellite Methods for Estimating ET; Crop coefficient methods; Energy balance methods; ALEXI (atmosphere land exchange inverse model); Integration of moderate-resolution LST into ALEXI/DisALEXI; Integration of microwave LST into ALEXI; Case study for grape production; Evolution of agri drought; Evaporative demand index (EDI); Evaporative stress index (ESI); ESI and “flash droughts”; ESI and prediction of Crop yield anomalies; OpenET – google earth engine ET monitoring system;,Introductory,GIS Expert; Data Scientist; 
ARSET,NASA,Introduction to synthetic aperture radar 1,https://appliedsciences.nasa.gov/join-mission/training/english/introduction-synthetic-aperture-radar ,Manager; Data Scientist; GIS Expert; introductory; introduction to synthetic aperture radar (SAR); The EM spectrum; Advantages and disadvantages of radar remote sensing compared to optical; radar vs optical; Active and passive remote sensing; Basic concepts; Basic system; Down looking vs side looking radar; Image formation; Radar parameters; Wavelength; Polarization; Incidence angle; Radar backscatter; Backscattering mechanisms; Surface parameters; Radar signal interaction; Geometric and Radiometric distortion of the radar signal; Slant range distortion; Geometric distortion; Foreshortening; Shadow; Radiometric distortion; Speckle; Speckle reduction; Multi-look processing; Spatial filtering; Radar data from different satellite sensors; NISAR mission; ,Introductory,Manager; Data Scientist; GIS Expert;
